U,I_1,I_2,I_3,I_4
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0.005,0
10,0.007,0.005,0.04,0
11,0.033,0.016,0.108,0.002
12,0.113,0.025,0.164,0.019
13,0.213,0.033,0.204,0.058
14,0.294,0.039,0.234,0.103
15,0.355,0.044,0.258,0.144
16,0.401,0.049,0.278,0.179
17,0.431,0.052,0.29,0.206
18,0.443,0.054,0.293,0.223
19,0.429,0.052,0.279,0.225
20,0.39,0.046,0.25,0.211
21,0.33,0.038,0.208,0.184
22,0.26,0.03,0.164,0.148
23,0.204,0.03,0.137,0.11
24,0.218,0.042,0.174,0.091
25,0.373,0.061,0.275,0.141
26,0.57,0.079,0.375,0.259
27,0.734,0.092,0.45,0.377
28,0.846,0.101,0.498,0.466
29,0.893,0.102,0.513,0.516
30,0.826,0.096,0.487,0.516
31,0.746,0.081,0.417,0.462
32,0.562,0.06,0.312,0.361
33,0.358,0.038,0.2,0.237
34,0.207,0.025,0.125,0.126
35,0.207,0.035,0.161,0.065
36,0.449,0.071,0.325,0.124
37,0.782,0.11,0.51,0.32
38,1.07,0.139,0.656,0.543
39,1.264,0.156,0.748,0.724
40,1.351,0.162,0.786,0.831
41,1.327,0.156,0.766,0.856
42,1.187,0.138,0.684,0.793
43,0.94,0.109,0.541,0.65
44,0.626,0.072,0.359,0.45
45,0.34,0.039,0.195,0.243
46,0.216,0.03,0.147,0.095
47,0.411,0.063,0.293,0.072
48,0.798,0.117,0.532,0.255
49,1.19,0.167,0.762,0.543
50,1.492,0.201,0.933,0.821
51,1.673,0.219,1.033,1.027
52,1.73,0.223,1.062,1.136
53,1.665,0.212,1.021,1.141
54,1.48,0.187,0.908,1.046
55,1.186,0.149,0.726,0.863
56,0.827,0.102,0.503,0.619
57,0.152,0.063,0.312,0.368
58,0.436,0.058,0.284,0.181
59,0.689,0.097,0.455,0.182
60,1.076,0.154,0.706,0.401
61,1.461,0.208,0.953,0.703
62,1.768,0.249,1.149,0.998
63,1.969,0.274,1.278,1.228
64,2.055,0.284,1.333,1.368
65,2.019,0.277,1.31,1.405
66,1.862,0.253,1.209,1.338
67,1.592,0.214,1.033,1.174
68,1.245,0.165,0.858,0.935
69,0.927,0.122,0.596,0.666
70,0.834,0.111,0.541,0.443
71,0.999,0.136,0.656,0.406
72,1.308,0.184,0.868,0.56
73,1.65,0.236,1.104,0.818
74,1.964,0.283,1.322,1.102
75,2.206,0.319,1.492,1.355
76,2.356,0.341,1.598,1.544
77,2.399,0.345,1.631,1.647
78,2.326,0.333,1.583,1.653
79,2.142,0.304,1.456,1.563
80,1.866,0.261,1.264,1.383
