Current,Resistor,Real-world EXP.,Sim. Ideal mod.,Sim. Complex Mod.
$0.020A$,$R_1$,312.23,309.76,308.28
,$R_2$,308.63,307.49,307.71
,$R_3$,303.85,302.72,305.02
,$R_4$,301.41,300.87,303.03
$0.025A$,$R_1$,318.17,315.72,312.92
,$R_2$,312.71,312.18,312.03
,$R_3$,305.67,304.73,307.84
,$R_4$,302.25,301.84,304.73
$0.030A$,$R_1$,326.32,323.02,318.59
,$R_2$,318.60,317.92,317.31
,$R_3$,308.88,307.18,311.28
,$R_4$,304.25,303.02,306.80
$0.035A$,$R_1$,335.46,331.86,325.20
,$R_1$,324.92,324.89,323.44
,$R_1$,311.73,310.20,315.25
,$R_1$,305.22,304.46,309.17
$0.040A$,$R_1$,345.07,341.88,332.92
,$R_2$,332.22,332.77,330.62
,$R_3$,315.88,313.58,319.92
,$R_4$,307.81,306.09,311.98
